"Type","Content"
"CEBWORD","adlaw"
"WORDTYPE","n"
"NUMBER","1"
"TEXT","sun."
"NUMBER","2"
"TEXT","day."
"CEBPHRASE","May adlaw nga magbásul ka,"
"TEXT","The day will come that you will be sorry."
"NUMBER","2a"
"TEXT","day, as opposed to night."
"CEBWORD","pila ka —"
"TEXT","it won’t be long."
"CEBPHRASE","Pila ka adlaw makapánaw ta sa búwan,"
"TEXT","Soon we’ll be able to take trips to the moon."
"NUMBER","2b"
"TEXT","one’s day for winning."
"CEBPHRASE","ímu tanang adlaw,"
"TEXT","You get all the breaks."
"NUMBER","3"
"TEXT","birthday."
"NUMBER","4"
"TEXT","amount earned in a day."
"CEBPHRASE","Singku ra may íyang adlaw niánà,"
"TEXT","He only gets five pesos a day from it."
"CEBWORD","— sa minatay"
"TEXT","All Soul’s Day."
"CEBWORD","Mahal nga —"
"TEXT","Holy Week."
"WORDTYPE","v"
"NUMBER","1"
"CLASS","[A3; b6]"
"TEXT","receive a certain amount daily."
"CEBPHRASE","Muadlaw kug tagduha ka líbu ka písus,"
"TEXT","I net two thousand pesos a day."
"CEBPHRASE","Adláwi lang siyag tag-diyis,"
"TEXT","Pay him ten pesos per day."
"NUMBER","2"
"CLASS","[A; b6]"
"TEXT","celebrate a birthday."
"CEBPHRASE","Adtu nyà sa ámù kay mag-adlaw ku,"
"TEXT","Come to my house for my birthday party."
"CEBWORD","adlaw-adlaw"
"TEXT","every day."
"CEBWORD","-an"
"WORDTYPE","a"
"TEXT","for it to be daylight."
"CEBPHRASE","Ayaw úsà pagpaúli. Adláwan pa bítaw,"
"TEXT","Don’t go home yet! It’s still daylight anyway."
"CEBWORD","-an(→)"
"WORDTYPE","n"
"TEXT","food used to celebrate a birthday with."
"CEBPHRASE","Iháwa na ang adlawan,"
"TEXT","Slaughter the birthday pig."
"CEBWORD","-in-"
"WORDTYPE","a"
"NUMBER","1"
"TEXT","daily, by the day."
"NUMBER","2"
"TEXT","lukewarm (lit. put in the sun)."
"CEBPHRASE","Túbig inadlaw,"
"TEXT","Warm water."
"WORDTYPE","v"
"NUMBER","1"
"CLASS","[A; a2]"
"TEXT","do on a daily basis."
"CEBPHRASE","Inadlawun (inadláwun) ka nákug dúaw,"
"TEXT","I will visit you daily."
"NUMBER","2"
"CLASS","[A; c1]"
"TEXT","make water warm."
"CEBWORD","-in-an"
"WORDTYPE","n"
"TEXT","birthday present."
"CEBWORD","ka-an"
"WORDTYPE","n"
"TEXT","birthday, day of patron saint."
"CEBWORD","ka-un"
"WORDTYPE","n"
"TEXT","dawn."
"CEBPHRASE","Mugíkan ku ugmà sa kaadláwun,"
"TEXT","I’ll leave tomorrow at dawn."
"CEBWORD","pang-"
"WORDTYPE","n"
"NUMBER","1"
"TEXT","s.t. used during daytime."
"CEBPHRASE","Sanínang pang-adlaw,"
"TEXT","Dress for daytime wear."
"NUMBER","2"
"TEXT","day shift work."
"CEBWORD","tala-an"
"WORDTYPE","n"
"TEXT","diary."
"CEBWORD","ti-"
"NUMBER","1"
"LINK","ting-"
"NUMBER","2"
"WORDTYPE","a"
"TEXT","sunny."
"CEBPHRASE","Sa buntag tiadlaw, apan sa hápun nag-ulan,"
"TEXT","In the morning it was sunny, but in the afternoon it rained."
"CEBWORD","ting-"
"WORDTYPE","n"
"TEXT","dry season.†"
