"Type","Content"
"CEBWORD","alúyuk"
"TEXT","(not without <i lang=""cebword"">l</i>)"
"WORDTYPE","n"
"TEXT","part of the skull where the hair forms a whorl."
"CEBWORD","-an"
"WORDTYPE","a"
"TEXT","having a whorl on the head."
"CEBPHRASE","Gwápu si Pidru kay aluyúkan sa buna,"
"TEXT","Pedro is handsome because he has a whorl on the front of his head."
"CEBWORD","kina-an(→)"
"WORDTYPE","n"
"TEXT","topmost or innermost part of s.t."
"CEBPHRASE","Ang mga Magahat túa magpuyù sa kinaaluyukan sa lasang,"
"TEXT","The Magahats live in the very center of the forest."
"LINK","úyuk"
