"Type","Content"
"CEBWORD","*alibagbag"
"CEBWORD","pa-"
"WORDTYPE","v"
"TEXT","<corr id=""xd20e15781"" title=""Not in source""></corr>"
"CLASS","[A; b6]"
"TEXT","avoid answering or seeming to heed by speaking off the topic, or pretend to be doing s.t. else in order to avoid the embarrassment of a confrontation."
"CEBPHRASE","Ayaw paalibagbag ug basabása myintras gisultíhan ka nákù,"
"TEXT","Don’t sit there reading while I am talking to you."
"CEBPHRASE","Gialibagbágan (gipaalibagbágan) ku níyag tubag kay dì man siya muadmitir nákù,"
"TEXT","He answered me off the topic to avoid admitting it."
