"Type","Content"
"CEBWORD","ábung<sub>1</sub>"
"WORDTYPE","v"
"CLASS","[A; c]"
"TEXT","bar, block the way."
"CEBPHRASE","Abúngan ta ning karsádag dakung batu,"
"TEXT","Let’s block the road with a big stone."
"WORDTYPE","n"
"TEXT","k.o. fishing equipment consisting of dried coconut leaves tied to a raft."
"CEBWORD","(→)"
"WORDTYPE","n"
"TEXT","s.t. which blocks the way."
"CEBPHRASE","Ang káhuy nga abung sa pultahan,"
"TEXT","The wood that was blocking the door."
"WORDTYPE","a"
"TEXT","in the path of the wind, smoke, smells, and the like."
"CEBPHRASE","Abung sa hángin,"
"TEXT","Exposed to the wind."
"CEBPHRASE","Abung ka kaáyu sa íyang dautang tingúhà,"
"TEXT","You are very much exposed to his evil powers."
"CEBWORD","pa-(→), pa-"
"WORDTYPE","v"
"NUMBER","1"
"CLASS","[A13; ac]"
"TEXT","put in an exposed position."
"CEBPHRASE","Ug magpaabung ka sa sílit sa túbig, mahumud ka,"
"TEXT","If you put yourself in the path of a jet of water, you’ll get wet."
"CEBPHRASE","Paabungig asu ang mangga,"
"TEXT","(Make the fire so that) the mango tree will be in the path of the smoke."
"WORDTYPE","n"
"TEXT","k.o. fishing whereby a net is set across the path of a fish."
"NUMBER","2"
"CLASS","[a]"
"TEXT","give allowance in measuring s.t."
"CEBPHRASE","Paabungan ug diyútay ang sukud ígù pagsipilya,"
"TEXT","Measure it with a little allowance for planing."
"CEBPHRASE","Mutíru gánì kag langgam nga naglupad paabungig diyútay,"
"TEXT","If you shoot at a flying bird, aim a little ahead."
"CEBWORD","paN-"
"WORDTYPE","v"
"CLASS","[A2]"
"TEXT","do s.t. in anticipation of a favor or reward."
"CEBPHRASE","Buútan nà siya run kay nangábung man nga hitagaan ug diyis,"
"TEXT","He’s obedient this time because he’s anticipating getting a dime."
"WORDTYPE","n"
"TEXT","preparation of oil and plants medicinal roots and herbs used as a protection against some evil.†"
