"Type","Content"
"CEBWORD","ábang"
"WORDTYPE","v"
"NUMBER","1"
"CLASS","[A2S; b]"
"TEXT","rent."
"CEBPHRASE","Ang usa ka kwartu giabángan sa tigúlang,"
"TEXT","The old man rents one of the rooms."
"NUMBER","2"
"CLASS","[b]"
"TEXT","hire a prostitute."
"NUMBER","3"
"CLASS","[A2; c]"
"TEXT","make an offering to a supernatural being for the use of land which is thought to be in his possession."
"CEBPHRASE","Iábang ni nákung baktína álang sa uma,"
"TEXT","I will sacrifice this pig as rental for the land."
"WORDTYPE","n"
"NUMBER","1"
"TEXT","rent paid."
"CEBPHRASE","Pilay ábang nímu sa libru?"
"TEXT","How much rent did you pay for the book?"
"NUMBER","2"
"TEXT","money paid a prostitute."
"NUMBER","3"
"TEXT","toil taken by supernatural beings."
"CEBPHRASE","Kadtung nalumus dinhi ábang kunu tu sa ingkantu,"
"TEXT","The man who drowned here is said to have been the rent collected by the supernatural spirit."
"CEBWORD","paN-"
"WORDTYPE","v"
"CLASS","[A2]"
"TEXT","patronize a prostitute."
"CEBWORD","-an(→)<corr id=""xd20e5140"" title=""Not in source""><sub>1</sub></corr>"
"NUMBER","1, 2, 3"
"LINK","ábang: n"
"NUMBER","4"
"TEXT","haunted place, place where departed spirits take a toll or rent."
"CEBPHRASE","Abangan kunu kanang baláya. Náa giyuy mamatay káda túig,"
"TEXT","That house is haunted (lit. has a rental on it). Each year s.o. dies there."
